id,department_id,date,revenue,expense,category
1,1,2025-10-01,1775992.1,746586.33,salaries
2,1,2025-10-01,571456.02,323595.19,equipment
3,1,2025-10-01,571456.02,298878.95,supplies
4,1,2025-10-01,571456.02,162386.23,utilities
5,1,2025-10-01,571456.02,117108.49,maintenance
6,1,2025-11-01,1747265.51,786952.31,salaries
7,1,2025-11-01,572139.12,343858.72,equipment
8,1,2025-11-01,572139.12,343916.51,supplies
9,1,2025-11-01,572139.12,182817.71,utilities
10,1,2025-11-01,572139.12,127194.24,maintenance
11,1,2025-12-01,1743646.98,785114.34,salaries
12,1,2025-12-01,550283.77,397687.67,equipment
13,1,2025-12-01,550283.77,339356.6,supplies
14,1,2025-12-01,550283.77,186081.13,utilities
15,1,2025-12-01,550283.77,132893.43,maintenance
16,1,2026-01-01,1740583.48,799143.43,salaries
17,1,2026-01-01,593212.0,360307.59,equipment
18,1,2026-01-01,593212.0,321726.0,supplies
19,1,2026-01-01,593212.0,177050.86,utilities
20,1,2026-01-01,593212.0,139153.19,maintenance
21,1,2026-02-01,1907398.22,827695.61,salaries
22,1,2026-02-01,599895.36,382745.36,equipment
23,1,2026-02-01,599895.36,320917.25,supplies
24,1,2026-02-01,599895.36,172717.46,utilities
25,1,2026-02-01,599895.36,120535.33,maintenance
26,1,2026-03-01,2063046.61,817533.33,salaries
27,1,2026-03-01,586337.58,352726.02,equipment
28,1,2026-03-01,586337.58,308157.07,supplies
29,1,2026-03-01,586337.58,193517.4,utilities
30,1,2026-03-01,586337.58,125664.97,maintenance
31,1,2026-04-01,1879491.84,745169.9,salaries
32,1,2026-04-01,563392.43,369757.49,equipment
33,1,2026-04-01,563392.43,313964.73,supplies
34,1,2026-04-01,563392.43,164289.92,utilities
35,1,2026-04-01,563392.43,121295.42,maintenance
36,1,2026-05-01,2171223.91,891581.1,salaries
37,1,2026-05-01,621499.23,339682.76,equipment
38,1,2026-05-01,621499.23,343348.07,supplies
39,1,2026-05-01,621499.23,189598.92,utilities
40,1,2026-05-01,621499.23,129732.51,maintenance
41,1,2026-06-01,1868894.06,786855.9,salaries
42,1,2026-06-01,582942.47,370128.48,equipment
43,1,2026-06-01,582942.47,359968.62,supplies
44,1,2026-06-01,582942.47,197656.84,utilities
45,1,2026-06-01,582942.47,125570.44,maintenance
46,1,2026-07-01,2105904.76,864267.45,salaries
47,1,2026-07-01,601669.88,348709.52,equipment
48,1,2026-07-01,601669.88,331506.5,supplies
49,1,2026-07-01,601669.88,183306.08,utilities
50,1,2026-07-01,601669.88,119110.24,maintenance
51,1,2026-08-01,2035446.22,874585.29,salaries
52,1,2026-08-01,622367.6,342380.38,equipment
53,1,2026-08-01,622367.6,325481.48,supplies
54,1,2026-08-01,622367.6,171752.97,utilities
55,1,2026-08-01,622367.6,139182.21,maintenance
56,1,2026-09-01,1872643.82,832880.55,salaries
57,1,2026-09-01,634450.52,405031.59,equipment
58,1,2026-09-01,634450.52,368319.99,supplies
59,1,2026-09-01,634450.52,178305.71,utilities
60,1,2026-09-01,634450.52,133376.48,maintenance
61,2,2025-10-01,1205384.88,718381.19,salaries
62,2,2025-10-01,401906.93,305043.27,equipment
63,2,2025-10-01,401906.93,277825.38,supplies
64,2,2025-10-01,401906.93,147371.03,utilities
65,2,2025-10-01,401906.93,113576.38,maintenance
66,2,2025-11-01,1413515.99,666237.56,salaries
67,2,2025-11-01,415104.71,280185.42,equipment
68,2,2025-11-01,415104.71,256851.83,supplies
69,2,2025-11-01,415104.71,158783.78,utilities
70,2,2025-11-01,415104.71,105459.16,maintenance
71,2,2025-12-01,1268774.05,640049.84,salaries
72,2,2025-12-01,414067.68,294984.79,equipment
73,2,2025-12-01,414067.68,276397.93,supplies
74,2,2025-12-01,414067.68,144876.65,utilities
75,2,2025-12-01,414067.68,101245.81,maintenance
76,2,2026-01-01,1399516.81,660359.58,salaries
77,2,2026-01-01,397177.2,324452.51,equipment
78,2,2026-01-01,397177.2,257159.81,supplies
79,2,2026-01-01,397177.2,146969.01,utilities
80,2,2026-01-01,397177.2,110282.74,maintenance
81,2,2026-02-01,1324158.39,712077.03,salaries
82,2,2026-02-01,401509.04,294568.62,equipment
83,2,2026-02-01,401509.04,278402.06,supplies
84,2,2026-02-01,401509.04,155209.3,utilities
85,2,2026-02-01,401509.04,98422.43,maintenance
86,2,2026-03-01,1275196.5,676436.67,salaries
87,2,2026-03-01,395073.91,315515.51,equipment
88,2,2026-03-01,395073.91,281522.25,supplies
89,2,2026-03-01,395073.91,163968.87,utilities
90,2,2026-03-01,395073.91,99681.39,maintenance
91,2,2026-04-01,1250704.1,721968.04,salaries
92,2,2026-04-01,406027.54,288287.52,equipment
93,2,2026-04-01,406027.54,270745.46,supplies
94,2,2026-04-01,406027.54,149765.48,utilities
95,2,2026-04-01,406027.54,102401.11,maintenance
96,2,2026-05-01,1391145.16,711102.57,salaries
97,2,2026-05-01,398162.77,321515.9,equipment
98,2,2026-05-01,398162.77,266412.16,supplies
99,2,2026-05-01,398162.77,172213.46,utilities
100,2,2026-05-01,398162.77,117633.51,maintenance
101,2,2026-06-01,708406.688,1027192.4010000001,salaries
102,2,2026-06-01,234202.61150000003,431412.0615,equipment
103,2,2026-06-01,234202.61150000003,371341.017,supplies
104,2,2026-06-01,234202.61150000003,212779.4805,utilities
105,2,2026-06-01,234202.61150000003,140654.4075,maintenance
106,2,2026-07-01,757594.574,944394.6195,salaries
107,2,2026-07-01,220119.15200000003,432975.24000000005,equipment
108,2,2026-07-01,220119.15200000003,387668.052,supplies
109,2,2026-07-01,220119.15200000003,234012.78,utilities
110,2,2026-07-01,220119.15200000003,164739.55500000002,maintenance
111,2,2026-08-01,694654.3230000001,911637.8685000001,salaries
112,2,2026-08-01,223162.192,461021.031,equipment
113,2,2026-08-01,223162.192,390863.2725,supplies
114,2,2026-08-01,223162.192,215877.3525,utilities
115,2,2026-08-01,223162.192,156056.193,maintenance
116,2,2026-09-01,736853.1995000001,959005.7910000001,salaries
117,2,2026-09-01,211248.58150000003,402679.44450000004,equipment
118,2,2026-09-01,211248.58150000003,411695.487,supplies
119,2,2026-09-01,211248.58150000003,198704.421,utilities
120,2,2026-09-01,211248.58150000003,141615.1755,maintenance
121,3,2025-10-01,1087873.74,568067.62,salaries
122,3,2025-10-01,363421.26,280107.95,equipment
123,3,2025-10-01,363421.26,227645.1,supplies
124,3,2025-10-01,363421.26,133815.77,utilities
125,3,2025-10-01,363421.26,94038.11,maintenance
126,3,2025-11-01,1274186.99,594017.91,salaries
127,3,2025-11-01,359591.74,250601.99,equipment
128,3,2025-11-01,359591.74,244933.32,supplies
129,3,2025-11-01,359591.74,126025.47,utilities
130,3,2025-11-01,359591.74,90532.03,maintenance
131,3,2025-12-01,1269935.77,564310.41,salaries
